GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
embezzlement,com.cosc210.models,GameProperties,6,38,2,2,2,8,2,5,0,5
embezzlement,com.cosc210.models,ParcOwnerShip,0,196,0,10,0,39,0,12,0,7
embezzlement,com.cosc210.models,FullOwnerShip,0,146,0,4,0,33,0,8,0,6
embezzlement,com.cosc210.models.exception,notEnoughOwnershipException,3,4,0,0,1,1,1,1,1,1
embezzlement,com.cosc210.models.exception,notEnoughExistException,3,4,0,0,1,1,1,1,1,1
embezzlement,com.cosc210.models.exception,notEnoughMoneyException,4,3,0,0,1,1,1,1,1,1
embezzlement,com.cosc210.models.state,SaveState,167,0,6,0,32,0,6,0,3,0
embezzlement,com.cosc210.models.state,GameState,106,0,8,0,34,0,12,0,8,0
embezzlement,com.cosc210.ui,SellJFrame,153,0,0,0,32,0,2,0,2,0
embezzlement,com.cosc210.ui,MainJFrame,199,0,10,0,44,0,7,0,2,0
embezzlement,com.cosc210.ui,consoleDisplay,286,0,12,0,78,0,21,0,12,0
embezzlement,com.cosc210.ui,inputHandler,3,29,0,2,1,7,1,2,1,1
embezzlement,com.cosc210.ui,BuyJFrame,159,0,0,0,34,0,2,0,2,0
